user_id,name,email,age
00234e50-34eb-4ce2-94ec-26e3fa749796,Dan Altenwerth Jr.,Molly59@gmail.com,67
006bfede-724d-4cdd-a2a6-59700f40d0da,Glenda Wisozk,Miriam21@gmail.com,119
006e1f7f-90c2-45ad-8c1d-1275d594cc88,Daniel Fahey IV,Delia.Lesch11@hotmail.com,49
00af05c9-0a86-419e-8c2d-5fb7e899ae1c,Ronnie Bechtelar,Sandra19@yahoo.com,22
00cc08cc-62f4-4da1-b8e4-f5d9ef5dbbd4,Alma Bechtelar,Shelly_Balistreri22@hotmail.com,102
01234567-89ab-cdef-0123-456789abcdef,John Doe,john.doe@example.com,30
12345678-9abc-def0-1234-567890abcdef,Jane Smith,jane.smith@example.com,25
abcdef12-3456-7890-abcd-ef1234567890,Bob Johnson,bob.johnson@example.com,35
fedcba98-7654-3210-fedc-ba9876543210,Alice Brown,alice.brown@example.com,28
11111111-2222-3333-4444-555555555555,Charlie Wilson,charlie.wilson@example.com,42 
